id,address,latLocation,lonLocation,pharmacyName
80,Avenida da Peregrinação 5C,38.781921010838907,-9.095643784252582,Farmácia Vila Expo
23,Jardim dos Jacarandás 6A R/C - antigo 4.28.01.H,38.778744390636923,-9.094469882907276,Farmácia Parque das Nações
79,Alameda dos Oceanos 1.07.1.1 - Loja G - 65B,38.771072539131445,-9.09619748603075,Farmácia Vasco da Gama
2,Rua Cidade de Cabinda 16A,38.768054610627985,-9.11197400896925,Farmácia Simões
208,Rua Cidade de Cabinda 16A,38.768054610627985,-9.11197400896925,Farmácia Simão
65,Rua Bispo de Cochim 1,38.724429274423535,-9.11276274685669,Farmácia Estácio Xabregas
180,Rua Alferes Barrilaro Ruas 7C,38.775358165874373,-9.11280776682546,Farmácia Central dos Olivais
214,Praça Cidade do Luso Lote 199,38.765703476413194,-9.11606232447229,Farmácia Antunes Rosas
159,Rua Dom Domingos Jardo 28A,38.726672129858486,-9.11873660637815,Farmácia Nova Luz
44,Rua Fernão de Magalhães 33,38.718897186216893,-9.12181109672626,Farmácia Costa Ferreira
143,Largo da Graça 39,38.717456572893454,-9.12965100502786,Farmácia Almeida Dias
198,Rua Abade Faria 22A,38.739050310858623,-9.1310258595022,Farmácia Paes
218,Avenida Almirante Reis 199A,38.73587058847616,-9.13417747291242,Farmácia Lusa
59,Rua de Santa Justa 8,38.712795184040004,-9.13699203752968,Farmácia Homeopática de Santa Justa
162,Rua de São Lázaro 128,38.719351403184419,-9.13719030110277,Farmácia Silmar
209,Rua Luciano Cordeiro 2A,38.723373995719008,-9.14246337229468,Farmácia dos Capuchos
241,Rua do Alecrim 125,38.710314437284119,-9.14314304213023,Farmácia Andrade
183,Rua Luciano Cordeiro 73,38.72554409272837,-9.14474834681433,Farmácia Luciano Cordeiro
52,Rua do Salitre 118,38.719917718467038,-9.1508465565273,Farmácia APDP
182,Praça das Flores 59,38.715198425641489,-9.15113656773531,Farmácia Confiança
261,Rua de São Bento 199A,38.715548777914542,-9.15464277313761,Farmácia Castro Sucessor
207,Rua da Lapa 105,38.709248337993941,-9.16159363946376,Farmácia Paiva da Costa Lda
140,Avenida Columbano Bordalo Pinheiro 98A,38.739040349854669,-9.16531087080441,Farmácia Aguiar
57,Rua Coelho da Rocha 119,38.716170208883518,-9.16930437092581,Farmácia Condestável Lda.
203,Rua Inácio Pardelhas Sanchez 182,38.731415400595004,-9.17088194102382,Farmácia Zenel
116,Rua Mário de Azevedo Gomes 1A,38.747998132320511,-9.17739988855331,Farmácia dos Lusíadas
151,Rua Leão de Oliveira 2B,38.704720670351449,-9.17831113239099,Farmácia Lisbonense
47,Calçada da Boa-Hora 94A,38.701099159583016,-9.19150196258199,Farmácia Sepol
193,Rua dos Quartéis 27,38.702921517036536,-9.19417281112684,Farmácia Boa-Hora
54,Estrada de A-da-Maia 64C,38.750861207455273,-9.20958249983252,Farmácia Progresso
